Time=0, IR=00000000, R1=00000000, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0000
Time=435, IR=19421000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=445, IR=19421000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=1, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=455, IR=19421000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=475, IR=19421000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0001
Time=485, IR=15524000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=495, IR=15524000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=1, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=505, IR=15524000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=525, IR=15524000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0001
Time=535, IR=16324000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=545, IR=16324000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=1, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=555, IR=16324000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=575, IR=16324000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0001
Time=585, IR=00000000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=625, IR=00000000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0001
Time=635, IR=21100001, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=645, IR=21100001, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=3, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=655, IR=21100001, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=2, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0000
Time=665, IR=21100001, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0000
Time=675, IR=21100001, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0000
Time=685, IR=12211000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0000
Time=695, IR=12211000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=1, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0000
Time=705, IR=12211000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=725, IR=12211000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0001
Time=735, IR=12201000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=745, IR=12201000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=1, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=755, IR=12201000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=775, IR=12201000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0001
Time=785, IR=18311000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=795, IR=18311000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=1, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=805, IR=18311000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=825, IR=18311000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0001
Time=835, IR=11423000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=845, IR=11423000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=1, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=855, IR=11423000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=875, IR=11423000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0001
Time=885, IR=00000000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=925, IR=00000000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0001
Time=935, IR=11400000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=945, IR=11400000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=1, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=955, IR=11400000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=975, IR=11400000, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0001
Time=985, IR=6100001d, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=1025, IR=6100001d, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0001
Time=1035, IR=21100001, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=1045, IR=21100001, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=3, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=1055, IR=21100001, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=2, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0000
Time=1065, IR=21100001, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0000
Time=1075, IR=21100001, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0000
Time=1085, IR=21200004, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0000
Time=1095, IR=21200004, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=3, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0000
Time=1105, IR=21200004, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=2, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0010
Time=1115, IR=21200004, R1=00000001, R2=00000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0010
Time=1125, IR=21200004, R1=00000001, R2=ffffffff, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0010
Time=1135, IR=2122ffff, R1=00000001, R2=ffffffff, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0010
Time=1145, IR=2122ffff, R1=00000001, R2=ffffffff, R3=00000000, R4=00000000, R5=00000000, ALU_OP=3, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0010
Time=1155, IR=2122ffff, R1=00000001, R2=ffffffff, R3=00000000, R4=00000000, R5=00000000, ALU_OP=2, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=1010
Time=1165, IR=2122ffff, R1=00000001, R2=ffffffff, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=1010
Time=1175, IR=2122ffff, R1=00000001, R2=80000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=1010
Time=1185, IR=51000005, R1=00000001, R2=80000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=1010
Time=1225, IR=51000005, R1=00000001, R2=80000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=1010
Time=1235, IR=21320000, R1=00000001, R2=80000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=1010
Time=1245, IR=21320000, R1=00000001, R2=80000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=3, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=1010
Time=1255, IR=21320000, R1=00000001, R2=80000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=2, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=1265, IR=21320000, R1=00000001, R2=80000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=1275, IR=21320000, R1=00000001, R2=80000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0001
Time=1285, IR=21440001, R1=00000001, R2=80000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=1295, IR=21440001, R1=00000001, R2=80000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=3, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=1305, IR=21440001, R1=00000001, R2=80000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=2, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0000
Time=1315, IR=21440001, R1=00000001, R2=80000000, R3=00000000, R4=00000000, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0000
Time=1325, IR=21440001, R1=00000001, R2=80000000, R3=00000000, R4=00000001, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0000
Time=1335, IR=12331000, R1=00000001, R2=80000000, R3=00000000, R4=00000001, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0000
Time=1345, IR=12331000, R1=00000001, R2=80000000, R3=00000000, R4=00000001, R5=00000000, ALU_OP=1, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0000
Time=1355, IR=12331000, R1=00000001, R2=80000000, R3=00000000, R4=00000001, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=1375, IR=12331000, R1=00000001, R2=80000000, R3=00000000, R4=00000001, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0001
Time=1385, IR=7100fffd, R1=00000001, R2=80000000, R3=00000000, R4=00000001, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=1425, IR=7100fffd, R1=00000001, R2=80000000, R3=00000000, R4=00000001, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0001
Time=1435, IR=60000016, R1=00000001, R2=80000000, R3=00000000, R4=00000001, R5=00000000, ALU_OP=0, BR_SEL=1, PC_WRITE=1, PC_SEL=1 STAT_REG=0001
Time=1445, IR=60000016, R1=00000001, R2=80000000, R3=00000000, R4=00000001, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=1475, IR=60000016, R1=00000001, R2=80000000, R3=00000000, R4=00000001, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=0001
Time=1485, IR=2122ffff, R1=00000001, R2=80000000, R3=00000000, R4=00000001, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=1495, IR=2122ffff, R1=00000001, R2=80000000, R3=00000000, R4=00000001, R5=00000000, ALU_OP=3, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=0001
Time=1505, IR=2122ffff, R1=00000001, R2=80000000, R3=00000000, R4=00000001, R5=00000000, ALU_OP=2, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=1001
Time=1515, IR=2122ffff, R1=00000001, R2=80000000, R3=00000000, R4=00000001, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=1001
Time=1525, IR=2122ffff, R1=00000001, R2=00000000, R3=00000000, R4=00000001, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=1001
Time=1535, IR=51000005, R1=00000001, R2=00000000, R3=00000000, R4=00000001, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=1 STAT_REG=1001
Time=1545, IR=51000005, R1=00000001, R2=00000000, R3=00000000, R4=00000001, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=1001
Time=1575, IR=51000005, R1=00000001, R2=00000000, R3=00000000, R4=00000001, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=1, PC_SEL=0 STAT_REG=1001
Time=1585, IR=f0000000, R1=00000001, R2=00000000, R3=00000000, R4=00000001, R5=00000000, ALU_OP=0, BR_SEL=0, PC_WRITE=0, PC_SEL=0 STAT_REG=1001
Halt.
ctrl.v:183: $stop called at 15900 (100ps)
** VVP Stop(0) **
** Flushing output streams.
** Current simulation time is 15900 ticks.
